user_id,item_id,timestamp
u01,i01,1
u01,i02,2
u01,i03,3
u01,i04,4
u01,i05,5
u01,i06,6
u02,i01,1
u02,i02,2
u02,i03,3
u02,i07,4
u02,i08,5
u02,i09,6
u03,i04,1
u03,i05,2
u03,i06,3
u03,i10,4
u03,i11,5
u03,i12,6
u04,i07,1
u04,i08,2
u04,i09,3
u04,i13,4
u04,i14,5
u04,i15,6
u05,i10,1
u05,i11,2
u05,i12,3
u05,i16,4
u05,i17,5
u05,i18,6
u06,i13,1
u06,i14,2
u06,i15,3
u06,i19,4
u06,i20,5
u06,i21,6
u07,i16,1
u07,i17,2
u07,i18,3
u07,i22,4
u07,i23,5
u07,i24,6
u08,i19,1
u08,i20,2
u08,i21,3
u08,i25,4
u08,i26,5
u08,i27,6
u09,i22,1
u09,i23,2
u09,i24,3
u09,i28,4
u09,i29,5
u09,i30,6
u10,i25,1
u10,i26,2
u10,i27,3
u10,i01,4
u10,i02,5
u10,i03,6
u11,i28,1
u11,i29,2
u11,i30,3
u11,i04,4
u11,i05,5
u11,i06,6
u12,i01,1
u12,i04,2
u12,i07,3
u12,i10,4
u12,i13,5
u12,i16,6
u13,i02,1
u13,i05,2
u13,i08,3
u13,i11,4
u13,i14,5
u13,i17,6
u14,i03,1
u14,i06,2
u14,i09,3
u14,i12,4
u14,i15,5
u14,i18,6
u15,i19,1
u15,i22,2
u15,i25,3
u15,i28,4
u15,i01,5
u15,i04,6
u16,i20,1
u16,i23,2
u16,i26,3
u16,i29,4
u16,i02,5
u16,i05,6
u17,i21,1
u17,i24,2
u17,i27,3
u17,i30,4
u17,i03,5
u17,i06,6
u18,i07,1
u18,i10,2
u18,i13,3
u18,i16,4
u18,i19,5
u18,i22,6
